goos: darwin
goarch: amd64
pkg: github.com/cristaloleg/benches/jwt
BenchmarkHMAC/sign-HS256-reuse-4    	  725175	      1681 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  739720	      1688 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  738280	      1680 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  699740	      1676 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS256-reuse-4    	  698144	      1688 ns/op	     176 B/op	       2 allocs/op
BenchmarkHMAC/check-HS256-4         	  289561	      4175 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  291327	      4178 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  293896	      4182 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  291655	      4170 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  290880	      4175 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  291584	      4172 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  290853	      4191 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  289990	      4174 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  285212	      4164 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-4         	  290025	      4272 ns/op	    1808 B/op	      31 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  309116	      3874 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  312091	      3844 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  316717	      3842 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  310004	      3856 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  311751	      3855 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  317209	      3844 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  306140	      3836 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  313237	      3860 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  311622	      3857 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/check-HS256-reuse-4   	  303558	      3844 ns/op	    1328 B/op	      26 allocs/op
BenchmarkHMAC/sign-HS384-4          	  530712	      2368 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  530751	      2348 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  477765	      2365 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  529774	      2374 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  511542	      2353 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  491649	      2367 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  498693	      2372 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  527685	      2368 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  527316	      2342 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-4          	  515131	      2359 ns/op	     992 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  681865	      1839 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  635066	      1822 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  612608	      1845 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  677709	      1822 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  652959	      1812 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  663048	      1844 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  596270	      1832 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  704937	      1814 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  690513	      1825 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS384-reuse-4    	  636434	      1830 ns/op	     192 B/op	       2 allocs/op
BenchmarkHMAC/check-HS384-4         	  275917	      4444 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  272954	      4473 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  271298	      4474 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  274164	      4464 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  268986	      4447 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  272131	      4437 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  268797	      4430 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  272989	      4439 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  277010	      4434 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-4         	  274678	      4451 ns/op	    2224 B/op	      32 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  302389	      3973 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  307238	      3982 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  305072	      3942 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  302932	      3963 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  309679	      3973 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  308559	      3969 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  311400	      3950 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  304196	      3953 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  303811	      3960 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/check-HS384-reuse-4   	  307773	      3959 ns/op	    1424 B/op	      27 allocs/op
BenchmarkHMAC/sign-HS512-4          	  502430	      2402 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  506037	      2394 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  488917	      2395 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  523508	      2424 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  484634	      2397 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  496321	      2406 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  501307	      2410 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  521341	      2399 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  516704	      2379 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-4          	  474396	      2412 ns/op	    1024 B/op	       7 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  663157	      1847 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  627693	      1859 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  668674	      1850 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  686518	      1877 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  620352	      1852 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  670393	      1868 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  664478	      1848 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  674193	      1864 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  684386	      1869 ns/op	     224 B/op	       2 allocs/op
BenchmarkHMAC/sign-HS512-reuse-4    	  605532	      1846 ns/op	     224 B/op	       2 allocs/op
